Time Step,Throughput Values
59,"[230692482.54977918, 249710569.5967838, 249999999.98818532, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
60,"[249710569.5967838, 249999999.98818532, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
61,"[249999999.98818532, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
62,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
63,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
64,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
65,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
66,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
67,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
68,"[250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 250000000.0, 249999999.9999119, 249998417.40365624, 237688794.43594873, 14247597.439772453]"
