Time Step,Weighted Values
59,"[225822802.36689803, 151530698.4505025, 91969850.177288, 55782540.03710744, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443931, 227970.49138862907, 138271.0925369584, 83865.6569379271, 50866.80317232459, 30802.638356477022, 17665.777515329497, 237.38331785061226]"
60,"[249831885.69939044, 151632648.25039867, 91969860.29286055, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443931, 227970.49138862907, 138271.09247480019, 83865.18036272831, 50784.9650520073, 29125.9431529798, 391.3789254496739]"
61,"[249999972.50302285, 151632664.9281583, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7982443931, 227970.49128614747, 138270.30673513285, 83730.25211300707, 48020.56200552054, 645.274759292637]"
62,"[249999999.9999999, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0441665896, 375859.7980754295, 227969.1958204447, 138047.84765979912, 79172.52200947613, 1063.8782210916756]"
63,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.8596160166, 619688.0438880158, 375857.6622135699, 227602.4228110817, 130533.42109199736, 1754.0386525484596]"
64,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7497713668, 1021692.859156726, 619684.5224471366, 375252.9557515144, 215213.2278916328, 2891.920836086837]"
65,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1345605766, 1684486.7490141245, 1021687.053282245, 618687.5300406158, 354826.62656096905, 4767.971395637267]"
66,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.722183545, 2777249.1333120954, 1684477.1767453726, 1020043.2906948877, 585010.2066218407, 7861.055858076937]"
67,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.855579625, 4578909.720125147, 2777233.351308995, 1681767.0704036157, 964518.7712341057, 12960.690003373295]"
68,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.091965986, 7549345.852185901, 4578883.700000942, 2772765.141337481, 1590222.614123221, 21368.565291512063]"
69,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6559747, 12446767.08637068, 7549302.952253657, 4571516.867178952, 2621833.8490533167, 35230.808120460424]"
70,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.6467496, 12446696.35633988, 7537157.098282351, 4322673.235175792, 58085.78273215791]"
71,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.79394356, 20521133.03264334, 12426671.22854657, 7126883.309120466, 95767.26551577494]"
72,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.01203103, 33833628.5297861, 20488117.178502023, 11750244.105544629, 157893.52769264503]"
73,"[250000000.0, 151632664.92815834, 91969860.25151657, 55782223.02202505, 33779194.58879298, 19372877.392730232, 260322.41761274362]"
74,"[250000000.0, 151632664.85999358, 91969337.62335108, 55692476.62566165, 31940475.032059975, 429199.1071582121]"
75,"[249999999.8876153, 151631803.1918205, 91821370.83069806, 52660940.58162363, 707629.6973372479]"
76,"[249998579.23697004, 151387847.19341618, 86823212.87199847, 1166684.1337790142]"
77,"[249596363.79328597, 143147277.85258904, 1923536.9475498148]"
78,"[236009961.8383849, 3171376.2804029766]"
79,[5228715.530894241]
1,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.80915318, 20521249.655585136, 12446765.092419516, 7549332.058559726, 4575153.024680002, 2694787.618574229, 785287.7931431177]"
2,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03710745, 33833820.8085109, 20521246.359279905, 12446744.344525807, 7543152.108497947, 4442953.666762675, 1294720.6881762205]"
3,"[250000000.0, 151632664.92815834, 91969860.29286058, 55782540.03604852, 33833815.37382234, 20521212.151786223, 12436555.329407088, 7325192.215126752, 2134633.5382116423]"
4,"[250000000.0, 151632664.92815834, 91969860.29111469, 55782531.0757619, 33833758.97519989, 20504413.305832505, 12077200.217046466, 3519415.71959941]"
5,"[250000000.0, 151632664.92527986, 91969845.51809955, 55782438.090153426, 33806062.36055278, 19911936.888348714, 5802535.557339945]"
6,"[249999999.99525416, 151632640.56869557, 91969692.21074899, 55736774.09245835, 32829233.888659045, 9566763.79738019]"
7,"[249999959.83803555, 151632387.80760574, 91894405.00644392, 54126256.21302164, 15772926.964504652]"
8,"[249999543.10545036, 151508260.19245645, 89239109.92177376, 26005160.18757842]"
9,"[249794891.26607242, 147130418.70637524, 42875260.749224685]"
10,"[242577050.88821688, 70689354.38406104]"
11,[116547042.1850608]
