,alert,altitude,callsign,count,geoaltitude,groundspeed,hour,icao24,last_position,latitude,longitude,onground,spi,squawk,timestamp,track,vertical_rate
2315,False,175.0,QFA401,2,400.0,158.0,2019-02-01 19:00:00+00:00,7c77ff,,,,False,False,4023,2019-02-01 19:16:11+00:00,168.6900675259798,1728.0
1966,False,200.0,QFA401,2,425.0,159.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:11.472000+00:00,-33.95389880164197,151.1779403686523,False,False,4023,2019-02-01 19:16:12+00:00,168.7607158003023,1856.0
962,False,250.0,QFA401,2,425.0,159.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:12.634000128+00:00,-33.95473674192266,151.1781120300293,False,False,4023,2019-02-01 19:16:13+00:00,168.407824589709,1984.0
580,False,275.0,QFA401,2,500.0,160.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:13.444999936+00:00,-33.9554443359375,151.1782650071748,False,False,4023,2019-02-01 19:16:14+00:00,168.479680052289,2048.0
2312,False,325.0,QFA401,3,525.0,160.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:14.483000064+00:00,-33.95617986129503,151.1784553527832,False,False,4023,2019-02-01 19:16:15+00:00,168.479680052289,1984.0
332,False,325.0,QFA401,3,550.0,161.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:15.533999872+00:00,-33.95704650878906,151.1786573760364,False,False,4023,2019-02-01 19:16:16+00:00,168.5506620115,2048.0
1038,False,400.0,QFA401,3,600.0,161.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:16.460000+00:00,-33.95773315429688,151.1788255341199,False,False,4023,2019-02-01 19:16:17+00:00,168.5506620115,2112.0
128,False,400.0,QFA401,4,650.0,161.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:17.502000128+00:00,-33.95846092094808,151.179027557373,False,False,4023,2019-02-01 19:16:18+00:00,168.5506620115,2176.0
2503,False,450.0,QFA401,4,675.0,162.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:18.565999872+00:00,-33.95947265625,151.179273955676,False,False,4023,2019-02-01 19:16:19+00:00,168.9675267591023,2176.0
2361,False,475.0,QFA401,4,750.0,162.0,2019-02-01 19:00:00+00:00,7c77ff,2019-02-01 19:16:19.532999936+00:00,-33.96022990598516,151.1794281005859,False,False,4023,2019-02-01 19:16:20+00:00,169.3150875999973,2112.0
