timestamp,Available link,Throughput,applicable sat. 1,applicable sat. 2,applicable sat. 3,applicable sat. 4,applicable sat. 5,applicable sat. 6,applicable sat. 7,applicable sat. 8,applicable sat. 9,applicable sat. 10,applicable sat. 11,applicable sat. 12,applicable sat. 13,applicable sat. 14,applicable sat. 15,applicable sat. 16,applicable sat. 17,applicable sat. 18,applicable sat. 19,applicable sat. 20,applicable sat. 21,applicable sat. 22,applicable sat. 23,applicable sat. 24,applicable sat. 25,applicable sat. 26,applicable sat. 27,applicable sat. 28
0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,-90697749.96957207,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,
2,0.0,2410886603.606033,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,
3,0.0,2496769969.57182,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,
4,1.0,2499610031.084483,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
5,1.0,2499999999.9999676,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
6,1.0,2500000000.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,
7,1.0,2500000000.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,
8,1.0,2500000000.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,
9,1.0,2500000000.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,
10,1.0,2500000000.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,
11,1.0,2500000000.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
12,0.0,2495101990.338789,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
13,1.0,2499999999.9988003,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
14,1.0,2499999999.7545652,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
15,1.0,2500000000.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
16,1.0,2500000000.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,
17,1.0,2500000000.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,
18,1.0,2500000000.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,
