Parameter Index,Time,Performance Value
0,21,"[       nan        nan        nan        nan        nan        nan
 0.43478261        nan]"
0,22,"[       nan        nan        nan        nan        nan        nan
 0.39130435        nan]"
0,23,"[       nan 0.                nan        nan        nan        nan
 0.34782609        nan]"
0,24,"[       nan 0.                nan        nan        nan        nan
 0.30434783        nan]"
0,25,"[       nan 0.                nan        nan        nan        nan
 0.26086957        nan]"
0,26,"[      nan 0.72            nan       nan       nan       nan 0.2173913
       nan]"
0,27,"[       nan 0.68              nan        nan        nan        nan
 0.17391304        nan]"
0,28,"[       nan 0.64              nan        nan        nan        nan
 0.13043478        nan]"
0,29,"[       nan 0.6               nan        nan        nan        nan
 0.08695652        nan]"
0,30,"[       nan 0.56              nan        nan        nan        nan
 0.04347826        nan]"
0,31,[ nan 0.52  nan  nan  nan  nan 0.    nan]
0,32,[ nan 0.48  nan  nan  nan  nan 0.    nan]
0,33,[ nan 0.44  nan  nan  nan  nan 0.    nan]
0,34,[nan 0.4 nan nan nan nan nan nan]
0,35,[ nan 0.36  nan  nan  nan  nan  nan  nan]
0,36,[ nan 0.32  nan  nan  nan  nan  nan  nan]
0,37,[ nan 0.28  nan  nan  nan  nan  nan  nan]
0,55,"[       nan        nan        nan        nan        nan 0.31818182
        nan        nan]"
0,56,"[       nan        nan        nan        nan        nan 0.27272727
        nan        nan]"
0,57,"[0.                nan        nan        nan        nan 0.22727273
        nan        nan]"
0,58,"[0.                nan        nan        nan        nan 0.18181818
        nan        nan]"
0,59,"[0.                nan        nan        nan        nan 0.13636364
        nan        nan]"
0,60,"[0.                nan        nan        nan        nan 0.09090909
        nan        nan]"
0,61,"[0.64              nan        nan        nan        nan 0.04545455
        nan        nan]"
0,62,[0.6 nan nan nan nan 0.  nan nan]
0,63,[0.56  nan  nan  nan  nan 0.    nan  nan]
0,64,[0.52  nan  nan  nan  nan 0.    nan  nan]
0,65,[0.48  nan  nan  nan  nan  nan  nan  nan]
0,66,[0.44  nan  nan  nan  nan  nan  nan  nan]
0,67,[0.4 nan nan nan nan nan nan nan]
0,68,[0.36  nan  nan  nan  nan  nan  nan  nan]
0,69,[0.32  nan  nan  nan  nan  nan  nan  nan]
1,21,[nan nan nan nan nan nan 0.5 nan]
1,22,[   nan    nan    nan    nan    nan    nan 0.4375    nan]
1,23,[  nan 0.      nan   nan   nan   nan 0.375   nan]
1,24,[   nan 0.        nan    nan    nan    nan 0.3125    nan]
1,25,[ nan 0.    nan  nan  nan  nan 0.25  nan]
1,26,[   nan 0.        nan    nan    nan    nan 0.1875    nan]
1,27,"[       nan 0.83333333        nan        nan        nan        nan
 0.125             nan]"
1,28,"[       nan 0.77777778        nan        nan        nan        nan
 0.0625            nan]"
1,29,"[       nan 0.72222222        nan        nan        nan        nan
 0.                nan]"
1,30,"[       nan 0.66666667        nan        nan        nan        nan
 0.                nan]"
1,31,"[       nan 0.61111111        nan        nan        nan        nan
 0.                nan]"
1,32,"[       nan 0.55555556        nan        nan        nan        nan
 0.                nan]"
1,33,[nan 0.5 nan nan nan nan 0.  nan]
1,34,"[       nan 0.44444444        nan        nan        nan        nan
        nan        nan]"
1,35,"[       nan 0.38888889        nan        nan        nan        nan
        nan        nan]"
1,36,"[       nan 0.33333333        nan        nan        nan        nan
        nan        nan]"
1,37,"[       nan 0.27777778        nan        nan        nan        nan
        nan        nan]"
1,55,[  nan   nan   nan   nan   nan 0.375   nan   nan]
1,56,[   nan    nan    nan    nan    nan 0.3125    nan    nan]
1,57,[0.    nan  nan  nan  nan 0.25  nan  nan]
1,58,[0.        nan    nan    nan    nan 0.1875    nan    nan]
1,59,[0.      nan   nan   nan   nan 0.125   nan   nan]
1,60,[0.        nan    nan    nan    nan 0.0625    nan    nan]
1,61,[ 0. nan nan nan nan  0. nan nan]
1,62,[0.875   nan   nan   nan   nan 0.      nan   nan]
1,63,[0.8125    nan    nan    nan    nan 0.        nan    nan]
1,64,[0.75  nan  nan  nan  nan 0.    nan  nan]
1,65,[0.6875    nan    nan    nan    nan    nan    nan    nan]
1,66,[0.625   nan   nan   nan   nan   nan   nan   nan]
1,67,[0.5625    nan    nan    nan    nan    nan    nan    nan]
1,68,[0.5 nan nan nan nan nan nan nan]
1,69,[0.4375    nan    nan    nan    nan    nan    nan    nan]
2,21,"[       nan        nan        nan        nan        nan        nan
 0.98360333        nan]"
2,22,"[       nan        nan        nan        nan        nan        nan
 0.98360333        nan]"
2,23,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,24,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,25,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,26,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,27,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,28,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,29,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,30,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,31,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,32,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,33,"[       nan 0.98360333        nan        nan        nan        nan
 0.98360333        nan]"
2,34,"[       nan 0.98360333        nan        nan        nan        nan
        nan        nan]"
2,35,"[       nan 0.98360333        nan        nan        nan        nan
        nan        nan]"
2,36,"[       nan 0.98360333        nan        nan        nan        nan
        nan        nan]"
2,37,"[       nan 0.98360333        nan        nan        nan        nan
        nan        nan]"
2,55,"[       nan        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,56,"[       nan        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,57,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,58,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,59,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,60,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,61,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,62,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,63,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,64,"[0.98360333        nan        nan        nan        nan 0.98360333
        nan        nan]"
2,65,"[0.98360333        nan        nan        nan        nan        nan
        nan        nan]"
2,66,"[0.98360333        nan        nan        nan        nan        nan
        nan        nan]"
2,67,"[0.98360333        nan        nan        nan        nan        nan
        nan        nan]"
2,68,"[0.98360333        nan        nan        nan        nan        nan
        nan        nan]"
2,69,"[0.98360333        nan        nan        nan        nan        nan
        nan        nan]"
3,21,"[       nan        nan        nan        nan        nan        nan
 0.96918881        nan]"
3,22,[nan nan nan nan nan nan  1. nan]
3,23,"[       nan 0.30907062        nan        nan        nan        nan
 0.98104776        nan]"
3,24,"[       nan 0.33382219        nan        nan        nan        nan
 0.91975521        nan]"
3,25,"[       nan 0.36273428        nan        nan        nan        nan
 0.83646043        nan]"
3,26,"[       nan 0.39683261        nan        nan        nan        nan
 0.74956396        nan]"
3,27,"[       nan 0.43745478        nan        nan        nan        nan
 0.6692455         nan]"
3,28,"[       nan 0.48617209        nan        nan        nan        nan
 0.59893296        nan]"
3,29,"[       nan 0.54504169        nan        nan        nan        nan
 0.53894501        nan]"
3,30,"[       nan 0.61618784        nan        nan        nan        nan
 0.48816273        nan]"
3,31,"[       nan 0.70090758        nan        nan        nan        nan
 0.44511753        nan]"
3,32,"[       nan 0.79750068        nan        nan        nan        nan
 0.40848922        nan]"
3,33,"[       nan 0.89626988        nan        nan        nan        nan
 0.37713715        nan]"
3,34,"[      nan 0.9739902       nan       nan       nan       nan       nan
       nan]"
3,35,[nan  1. nan nan nan nan nan nan]
3,36,"[       nan 0.96105465        nan        nan        nan        nan
        nan        nan]"
3,37,"[       nan 0.87627651        nan        nan        nan        nan
        nan        nan]"
3,55,"[       nan        nan        nan        nan        nan 0.94733547
        nan        nan]"
3,56,"[       nan        nan        nan        nan        nan 0.85838408
        nan        nan]"
3,57,"[0.32922203        nan        nan        nan        nan 0.76076308
        nan        nan]"
3,58,"[0.35515039        nan        nan        nan        nan 0.67035573
        nan        nan]"
3,59,"[0.38528967        nan        nan        nan        nan 0.59241437
        nan        nan]"
3,60,"[0.42066062        nan        nan        nan        nan 0.52722177
        nan        nan]"
3,61,"[0.46251092        nan        nan        nan        nan 0.47310084
        nan        nan]"
3,62,"[0.51225228        nan        nan        nan        nan 0.42797128
        nan        nan]"
3,63,"[0.5717152         nan        nan        nan        nan 0.39018443
        nan        nan]"
3,64,"[0.64240397        nan        nan        nan        nan 0.35821429
        nan        nan]"
3,65,"[0.72502596        nan        nan        nan        nan        nan
        nan        nan]"
3,66,"[0.81668846        nan        nan        nan        nan        nan
        nan        nan]"
3,67,"[0.90758131        nan        nan        nan        nan        nan
        nan        nan]"
3,68,"[0.97707375        nan        nan        nan        nan        nan
        nan        nan]"
3,69,[ 1. nan nan nan nan nan nan nan]
4,21,[nan nan nan nan nan nan nan nan]
4,22,[nan nan nan nan nan nan nan nan]
4,23,[nan  0. nan nan nan nan nan nan]
4,24,[nan  0. nan nan nan nan nan nan]
4,25,[nan nan nan nan nan nan nan nan]
4,26,[nan nan nan nan nan nan nan nan]
