Timestamp;Satellite;Availability;BER;Cost;Latency;Throughput;Weighted Availability;Weighted BER;Weighted Cost;Weighted Latency;Weighted Throughput;Total Weighted Sum
0;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
0;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
1;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;Sat 3;0.6923076923076923;0.13846153846153847;1.0;0.0;0.9836033324480903;0.19672066648961806;1.0;0.2;0.0;0.0;0.5351822049511565
1;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;Sat 8;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;1.0;0.2;NA;NA;0.39672066648961807
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
2;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;Sat 3;0.6153846153846154;0.12307692307692308;1.0;0.0;0.9836033324480903;0.19672066648961806;0.9771998316354569;0.19543996632709137;0.4444444444444444;0.17777777777777778;0.6930153336714103
2;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
3;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Sat 3;0.5384615384615384;0.1076923076923077;1.0;0.0;0.9836033324480903;0.19672066648961806;0.8955491044650363;0.17910982089300728;0.3333333333333333;0.13333333333333333;0.6168561284082663
3;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
3;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
4;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Sat 3;0.46153846153846156;0.09230769230769231;1.0;0.0;0.9836033324480903;0.19672066648961806;0.7923617167055603;0.15847234334111207;0.2222222222222222;0.08888888888888889;0.5363895910273113
4;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
4;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
5;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
5;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
5;Sat 3;0.38461538461538464;0.07692307692307693;1.0;0.0;0.9836033324480903;0.19672066648961806;0.6926788570382902;0.13853577140765805;0.1111111111111111;0.044444444444444446;0.4566239592647975
5;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
5;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
5;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
5;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
5;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
6;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;Sat 3;0.3076923076923077;0.06153846153846154;1.0;0.0;0.9836033324480903;0.19672066648961806;0.6065919122759648;0.12131838245519296;0.1111111111111111;0.044444444444444446;0.424021954927717
6;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
7;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Sat 3;0.23076923076923078;0.046153846153846156;1.0;0.0;0.9836033324480903;0.19672066648961806;0.5350667465852539;0.10701334931705078;0.0;0.0;0.349887861960515
7;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
8;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;Sat 3;0.15384615384615385;0.03076923076923077;1.0;0.0;0.9836033324480903;0.19672066648961806;0.4764164663412848;0.09528329326825696;0.0;0.0;0.3227731905271058
8;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
9;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;Sat 3;0.07692307692307693;0.015384615384615385;1.0;0.0;0.9836033324480903;0.19672066648961806;0.4281793851772491;0.08563587703544984;0.0;0.0;0.2977411589096833
9;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
10;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;Sat 3;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.38816815356767026;0.07763363071353406;0.0;0.0;0.27435429720315213
10;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;Sat 7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
11;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
11;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
11;Sat 3;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.35466944399899086;0.07093388879979817;0.0;0.0;0.26765455528941623
11;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
11;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
11;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
11;Sat 7;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.37119569576442313;0.07423913915288463;0.0;0.0;0.27095980564250266
11;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
12;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
12;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
12;Sat 3;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.32634402052526684;0.06526880410505337;0.0;0.0;0.2619894705946714
12;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
12;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
12;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
12;Sat 7;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.4012990963290239;0.08025981926580478;0.0;0.0;0.27698048575542283
12;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
13;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
13;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
13;Sat 3;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.302142023089035;0.060428404617807;0.0;0.0;0.2571490711074251
13;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
13;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
13;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
13;Sat 7;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.4363905858831364;0.08727811717662728;0.0;0.0;0.2839987836662453
13;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
14;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Sat 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Sat 6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
14;Sat 7;0.0;0.0;1.0;0.0;0.9836033324480903;0.19672066648961806;0.47760241302694684;0.09552048260538937;0.0;0.0;0.2922411490950074
14;Sat 8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
Weights;;0.2;0;0.2;0.2;0.4;;;;;;
15;Sat 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
15;Sat 2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
15;Sat 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
15;Sat 4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
15;Sat 5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
