Satellite,Timestamp,Weighted_Values
0,59,"228069509.31, 225685509.76, 204682672.71, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68132948.26, 61649240.99, 55782540.04, 50474129.50, 45670881.01, 41296897.18, 35681596.09, 1869702.38, -93931298.40, -110803158.26, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,60,"249421062.02, 226209337.32, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68132948.26, 61649240.99, 55782540.04, 50474129.50, 45640129.77, 39434262.31, 2066340.70, -103810139.29, -122456428.14, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,61,"249999981.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68132948.26, 61649240.99, 55782540.04, 50440144.12, 43581599.89, 2283659.65, -114727946.94, -135335283.11, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,62,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68132948.26, 61649240.98, 55744980.39, 48165116.76, 2523834.23, -126793990.45, -149568619.08, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,63,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68132948.26, 61607731.15, 53230686.30, 2789268.19, -140129030.83, -165298888.07, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,64,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68087072.80, 58829006.45, 3082618.09, -154866529.65, -182683523.88, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,65,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75247852.75, 65016107.07, 3406819.86, -171153984.75, -201896517.80, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,66,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83161738.51, 71853910.74, 3765118.23, -189154406.46, -223130159.94, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,67,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.93, 91907934.90, 79410852.50, 4161099.18, -209047949.05, -246596963.71, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,68,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101573976.79, 87762564.76, 4598725.80, -231033713.77, -272531792.78, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,69,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112256605.18, 96992634.27, 5082378.01, -255331741.56, -301194211.63, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,70,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124062735.41, 107193438.67, 5616896.37, -282185215.23, -332871083.38, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,71,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137110527.19, 118467071.02, 6207630.52, -311862893.38, -367879440.83, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,72,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167580011.51, 151530567.21, 130926361.64, 6860492.72, -344661800.19, -406569659.36, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,73,"250000000.00, 226209354.51, 204682688.27, 185204555.17, 167467176.08, 144696007.30, 7582017.04, -380910198.15, -449328963.69, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,74,"250000000.00, 226209354.51, 204682688.27, 185079852.74, 159913819.23, 8379424.73, -420970873.39, -496585303.32, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,75,"250000000.00, 226209354.51, 204544870.77, 176732102.41, 9260696.52, -465244766.63, -548811635.58, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,76,"250000000.00, 226057042.61, 195319179.87, 10234652.48, -514174985.86, -606530659.14, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,77,"249831669.32, 215861077.34, 11311040.28, -568251241.18, -670320045.40, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,78,"238563385.02, 12500632.77, -628014745.91, -740818219.98, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
0,79,"13815335.79, -694063633.30, -818730752.31, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
1,25,"236881580.90, 226136225.98, 204682688.27, 185204555.17, 167580011.51, 151632664.93, 137202909.02, 124146325.95, 112332241.03, 101642414.94, 91969860.29, 83217770.92, 75298552.98, 68132948.26, 61649240.99, 55782540.04, 50474129.50, 45670881.01, 41324722.03, 37329813.99, 29590587.04, -53104114.21, -110793947.43, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --"
